tract_code,jan_2017_status,jan_2018_status
01001020100,Not Qualified,Not Qualified
01001020200,Not Qualified,Not Qualified
01001020300,Not Qualified,Not Qualified
01001020400,Not Qualified,Not Qualified
01001020500,Not Qualified,Not Qualified
01001020600,Not Qualified,Not Qualified
01001020700,Not Qualified,Not Qualified
01001020801,Not Qualified,Not Qualified
01001020802,Not Qualified,Not Qualified
01001020900,Not Qualified,Not Qualified
01001021000,Not Qualified,Not Qualified
01001021100,Not Qualified,Not Qualified
01003010100,Not Qualified,Not Qualified
01003010200,Qualified,Qualified
01003010300,Not Qualified,Not Qualified
01003010400,Not Qualified,Not Qualified
01003010500,Not Qualified,Not Qualified
01003010600,Qualified,Qualified
01003010701,Not Qualified,Not Qualified
01003010703,Not Qualified,Not Qualified
01003010704,Not Qualified,Not Qualified
01003010705,Not Qualified,Not Qualified
01003010800,Not Qualified,Not Qualified
01003010903,Not Qualified,Not Qualified
01003010904,Not Qualified,Not Qualified
01003010905,Not Qualified,Not Qualified
01003010906,Not Qualified,Not Qualified
01003011000,Qualified,Qualified
01003011101,Not Qualified,Not Qualified
01003011102,Not Qualified,Not Qualified
01003011201,Not Qualified,Not Qualified
01003011202,Not Qualified,Not Qualified
01003011300,Not Qualified,Not Qualified
01003011401,Not Qualified,Not Qualified
01003011403,Not Qualified,Not Qualified
01003011405,Not Qualified,Not Qualified
01003011406,Not Qualified,Not Qualified
01003011407,Not Qualified,Not Qualified
01003011408,Not Qualified,Not Qualified
01003011501,Not Qualified,Not Qualified
01003011502,Qualified,Qualified
01003011601,Not Qualified,Not Qualified
01003011602,Not Qualified,Not Qualified
01003990000,Not Qualified,Not Qualified
01005950100,Not Qualified,Not Qualified
01005950200,Qualified,Qualified
01005950300,Qualified,Qualified
01005950400,Not Qualified,Not Qualified
01005950500,Qualified,Redesignated until Dec 2021
01005950600,Qualified,Qualified
01005950700,Not Qualified,Qualified
01005950800,Not Qualified,Not Qualified
01005950900,Qualified,Qualified
01007010001,Not Qualified,Not Qualified
01007010002,Not Qualified,Not Qualified
01007010003,Not Qualified,Not Qualified
01007010004,Qualified,Redesignated until Dec 2021
01009050101,Not Qualified,Not Qualified
01009050102,Not Qualified,Not Qualified
01009050200,Not Qualified,Not Qualified
01009050300,Not Qualified,Not Qualified
01009050400,Qualified,Qualified
01009050500,Not Qualified,Not Qualified
01009050601,Not Qualified,Not Qualified
01009050602,Not Qualified,Not Qualified
01009050700,Not Qualified,Not Qualified
01011952100,Not Qualified,Not Qualified
01011952200,Redesignated until Jan 2020,Redesignated until Dec 2021
01011952500,Not Qualified,Not Qualified
01013952700,Qualified,Qualified
01013952800,Not Qualified,Not Qualified
01013952900,Redesignated until Mar 2019,Redesignated until Dec 2021
01013953000,Not Qualified,Not Qualified
01013953100,Qualified,Qualified
01013953200,Not Qualified,Not Qualified
01013953300,Not Qualified,Not Qualified
